University of North Carolina Wilmington Bookstore,,601 S College Rd.,Wilmington,NC,28403,910-962-3188,http://uncw.bkstore.com/
Campbell University Bookstore,85 Main St.,Britt Hall,Buies Creek,NC,27506    ,910-893-1200,http://campbell.bkstore.com/
Elon University Campus Shop,,2191 Campus Box,Elon ,NC,27244,336-278-5400,http://elon.bkstore.com/
Belmont Abbey Bookstore,100 Belmont - Mt. Holly Road,,Belmont,NC,28012    ,704-825-6819,http://bac.bkstore.com/
Salem College Bookstore,,9 E Academy St.,Winston Salem,NC,27101    ,336-917-5390,http://salem.bkstore.com/
Philips Exeter Academy Bookstore,,13 Spring St.,Exeter,NH,03833    ,603-772-5181,http://exeter.bkstore.com/
Plymouth State College Bookstore,17 High St.,,Plymouth,NH,03264    ,603-536-3021,http://plymouth.bkstore.com
Cumberland County College Bookstore,College Drive,Dr. Charles Cunningham Student Center,Vineland,NJ,08362    ,856-691-8600,http://cccnj.bkstore.com/
Kean University Bookstore,,1000 Morris Ave.,Union,NJ,07083    ,908-737-5230,http://kean.bkstore.com/
New Jersey City University Bookstore,2039 Kennedy Blvd.,,Jersey City,NJ,07305    ,201-435-6607,http://njcu.bkstore.com/
Hunter Bookstore,695 Park Avenue,,New York,NY,10021    ,212-650-3970,http://hunter.bkstore.com/
Pace University Bookstore,,41 Park Row,New York,NY,10038    ,212-349-8580,http://pace.bkstore.com/
Brooklyn College Bookstore,,Campus Rd.& E 27th St.,Brooklyn,NY,11210    ,718)434-0333,http://brooklyn.bkstore.com/
College of Staten Island Bookstore,Building 1C,2800 Victory Blvd,Staten Island,NY,10314    ,718-982-3030,http://csi.bkstore.com/
Bard College Bookstore,Bard College,Ravine Rd.,Annandale On Hudson,NY,12504    ,845-758-7005,http://bard.bkstore.com/
University at Albany Bookstore,,1400 Washington Ave,Albany,NY,12222    ,518-442-5690,http://albany.bkstore.com/
SUNY at Binghamton Bookstore,Binghamton Campus,Vestal Parkway E,Binghampton,NY,13902,607-777-2745,http://binghamton.bkstore.com/
University of Rochester Bookstore,,Frederick Douglass Bldg,Rochester,NY,14627    ,585-275-4012,http://urochester.bkstore.com/
NYC Technical College Bookstore,NYC Tech School,300 Jay St.,Brooklyn,NY,11201    ,718-855-8614,http://nyctc.bkstore.com/
Hamilton College Bookstore,198 College Hill Rd,Bristol Campus Center,Clinton,NY,13323    ,315-859-4242,http://hamilton.bkstore.com/
Aldephi University Bookstore,,Adelphi University S Ave,Garden City,NY,11530    ,516-877-3900,http://adelphi.bkstore.com/
Hofstra University Bookstore,,200 Hofstra University,Hempstead,NY,11549,516-463-6654,http://hofstra.bkstore.com/
Wagner College Bookstore,,1 Campus Rd.,Staten Island,NY,10301,718-390-3469,http://wagner.bkstore.com/
Utica College Bookstore,1600 Burrstone Rd.,Strebel Bldg.,Utica,NY,13502    ,315-792-3193,http://utica.bkstore.com/
Fordham University Bookstore- Rosehill Campus,441 E Fordham Rd.,McGinley Center,Bronx,NY,10458    ,718-817-3400,http://fordham-rosehill1.bkstore.com/bkstore/content
Alfred University Bookstore,,Powell Campus Ctr,Alfred,NY,14802    ,607-871-2350,http://alfred.bkstore.com/
Marist College Bookstore,,3399 North Rd.,Poughkeepsie,NY,12601,845-575-3260,http://marist.bkstore.com/
Iona College Bookstore,715 North Ave.,Spellman Hall,New Rochelle,NY,10801,914-633-2356,http://iona.bkstore.com/
York College Bookstore,,94-20 Guy R Brewer Rd.,Jamaica,NY,11451    ,718-657-6649,http://york.bkstore.com/
Long Island University Bookstore- Brooklyn,One University Plaza Humanities Bldg.,,Brooklyn,NY,11201    ,718-858-3888,http://liunet-brooklyn.bkstore.com/
Fordham University Bookstore- Lincoln Center,,113 West 60th Street,New York,NY,10023    ,212-636-6080,http://fordham-lc1.bkstore.com/bkstore/content
Nazareth College Bookstore,,4245 E Ave,Rochester,NY,14618,585-586-2690,http://naz.bkstore.com/
Eastman School of Music Bookstore,,25 Gibbs St.,Rochester,NY,14604    ,585-274-1399,http://eastman.bkstore.com/
St. John Fisher College Bookstore,,3690 East Avenue,Rochester,NY,14618    ,585-385-8252,http://sjfc.bkstore.com/
Niagara University Campus Store,Senior Drive,,Niagara University,NY,14109    ,716-286-8370,http://niagara.bkstore.com/
SUNY Brockport University Bookstore,,350 New Campus Dr.,Brockport,NY,14420    ,585-395-2554,http://brockport.bkstore.com/
D'Youville College Bookstore,,329 Porter Ave.,Buffalo,NY,14201    ,716-829-7666,http://dyc.bkstore.com/
Medgar Evers College Bookstore,,1665 Bedford Ave,Brooklyn,NY,11225    ,718-774-5040,http://mec.bkstore.com/
University of Toledo Bookstore,1 Towerview E & Stadium Dr.,Student Union Bldg.,Toledo,OH,43606,419-530-2516,http://utoledo.bkstore.com/
University of Akron Bookstore,,303 E Carroll St.,Akron,OH,44325    ,330-972-7624,http://uakron.bkstore.com/
Ohio State University Bookstore,,2009 Milikin Rd.,Columbus,OH,43210    ,614-292-2991,http://ohiostate.bkstore.com/
Wright State University Bookstore,East 182 Student Union,Colonel Glenn Highway,Dayton,OH,45435    ,937-775-5600,http://wright.bkstore.com/
