1,Ann Arbor,MI,612 E Liberty,48104,734-668-7652,734-668-2455,Keith Bearup,"Mon-Sat 9-11, Sun 9-9,"
2,Columbus,OH,4545 Kenny Road,43220,614-451-2292,614-451-9590,Dale Ray,"M-Th 9-10, Fr-Sa 9-11, Su 9-9,"
3,Madison,WI,3750 University Ave,53705,608-232-2600,608-232-2616,Michael Chaim,"M-Th 9-10, Fr-Sa 9-11, Su 10-9,"
5,Emeryville,CA,5903 Shellmound Street,94608,510-654-1633,510-654-1367,Deb Tully,"M-Th 9-11, Fr-Sa 9-midnight Su 9-9,"
9,Pittsburgh,PA,1775 North Highland Road,15241,412-835-5583,412-835-5637,Jim Males,"Mon-Sat 9-11, Sun 9-9,"
10,Kensington,MD,11301 Rockville Pike,20895,301-816-1067,301-816-8940,Vickie Grohoske,"Mon-Sat 9-11, Sun 9-9,"
12,West Des Moines,IA,"4100 University Ave, Ste 115",50265,515-223-1620,515-223-5607,Trever Jayne,"M-TH 9-10, F-SA  9-11, SU 10-8,"
13,Boca Raton,FL,9887 Glades Rd,33434,561-883-5854,561-883-5073,Randy Ballen,"Mon-Sat 9-11, Sun 9-9,"
14,Beverly Hills,MI,31150 Southfield Road,48025,248-644-1515,248-644-6484,Christie Hickcox,"M-SA 9-10, SU 9-9,"
15,Atlanta,GA,"3637 Peachtree Rd, NE",30319,404-237-0707,404-237-7228,Laurel Gauthier,"Mon-Sat 9-11, Sun 9-10,"
16,Indianapolis,IN,5612 Castelton Corner Lane,46250,317-849-8660,317-841-7234,Steven Tracy,"Mon-Sat 9-10, Sun 10-8,"
17,Chestnut Hill,MA,Rt. 9 - 300 Boylston Street,02467,617-630-1120,617-630-9699,Kelly Higgins,"M-Th 10-10, Fr-Sa 10-11, Su 10-7,"
18,Tucson,AZ,4235 N Oracle Rd,85705,520-292-1331,520-292-5049,Kathryn Pellegrini,"Mon-Sat 9-11, Sun 9-9,"
20,Oak Brook,IL,"1500 16th Street, Suite D",60523,630-574-0800,630-574-2409,Bill Bychowski,"Mon-Sat 9-11, Sun 9-9,"
21,Philadelphia,PA,"1 S. Broad, Suite 100",19107,215-568-7400,215-568-7466,Chris Adams,"M-F 8-10, SA 9-10, SU 10-7,"
22,Rochester,NY,1000 Hylan Drive,14623,585-292-5900,585-292-1485,Susan Gollands,"M-TH 9-10, F/SA 9-11, SU 9-9"
23,Overland Park,KS,9108 Metcalf Avenue,66212,913-642-3642,913-642-3877,Mark Kohlhase,"Mon-Sat 9-11, Sun 9-9,"
25,Framingham,MA,85 Worcester Road,01701,508-875-2321,508-875-3205,Luke Sampson,"M-Th 10-10, Fr-Sa 10-11, Su 10-9,"
26,Marlton,NJ,515 Route 73 South,08053,856-985-5080,856--985-3023,Jackie Kerr,"Mon-Thurs 9-10, Fri/Sat 9-11, Sun 9-9,"
