Addam's University Books,2109 100 Avent Ferry Rd,Mission Valley Shopping Center,Raleigh,NC,27606,919,832-9938,919-832-9938,addams@bkstr.com,228,,http://www.bkstr.com/CategoryDisplay/10001-10003-10700-1?demoKey=d
American University Campus Store,Butler Pavillion,4400 Massachusetts Ave NW,Washington,DC,20016,202,885-6300,202-885-6300,american@bkstr.com,412,,http://www.bkstr.com/Home/10001-10061-1?demoKey=d
APSU Bookstore     ,Catherine E. Harvill Building,601College Street,Clarksville,TN,37044,931,221-7655,931-221-7655,apsu@bkstr.com,657,P.O. Box 4456,http://www.bkstr.com/Home/10001-10113-1?demoKey=d
Barry Bookstore,Landon Student Union,11300 N. Miami Avenue,Miami Shores,FL,33161,305,899-3970,305-899-3970,barry@bkstr.com,453,,http://www.bkstr.com/Home/10001-10078-1?demoKey=d
Baruch College Bookstore   ,55 Lexington Avenue,,New York,NY,10010,646,312-4850,646-312-4850,baruch@bkstr.com,540,,http://www.efollett.com/CategoryDisplay/10001-10003-10385-1?demoKey=d
Baylor Bookstore,Baylor University Parking Facility,1201 South 5th Street,Waco,TX,76706,254,710-2161,254-710-2161,baylor@bkstr.com,461,P. O. Box 6325,http://www.bkstr.com/Home/10001-10068-1?demoKey=d
Ben Wofford Books,616 W. Stadium Ave.,501 North Church Street,Spartanburg,SC,29303,864,597-4060,864-597-4060,wofford@bkstr.com,488,,http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?storeId=10225&langId=-1&catalogId=10001
Boiler Bookstore at Purdue,45 Broad Street,,West LaFallette,IN,47906,765,743-9696,765-743-9696,,301,,
Broad Street Books,200 Lee Entrance,,Middletown,CT,06459,860,685-7323,860-685-7323,broadstreetbooks@wesleyan.edu,84,,http://www.wesleyan.edu/broadstreetbooks/
Buffalo University Books,,,Buffalo,NY,14228,716,645-3131,716-645-3131,buffalo@bkstr.com,405,,http://www.bkstr.com/Home/10001-10542-1?demoKey=d
City College Bookstore ,138th & Convent Avenue,RM R1/103,New York,NY,10031,212,368-4000,212-368-4000,ccny@bkstr.com,431,,http://www.bkstr.com/Home/10001-10629-1?demoKey=d
College of Charleston Bookstore,160 Calhoun Street,,Charleston,SC,29424,843,953-5518,843-953-5518,cofc@bkstr.com,638,,http://www.bkstr.com/webapp/wcs/stores/servlet/StoreCatalogDisplay?storeId=10752&langId=-1&catalogId=10001
Drew Bookstore,University Center,36 Madison Avenue,Madison,NJ,07940,973,408-3097,973-408-3097,drew@bkstr.com,333,,http://www.bkstr.com/Home/10001-10351-1?demoKey=d
